[iter 0]:[-3293. -3177.],[6026. 5806.]
[iter 1]:[-2947. -2945.],[6877. 6861.]
[iter 2]:[-2729. -2734.],[7542. 7544.]
[iter 3]:[-2582. -2591.],[8023. 8037.]
[iter 4]:[-2503. -2514.],[8294. 8317.]
[iter 5]:[-2456. -2468.],[8455. 8484.]
[iter 6]:[-2440. -2452.],[8512. 8541.]
[iter 7]:[-2430. -2442.],[8547. 8576.]
[iter 8]:[-2422. -2434.],[8576. 8607.]
[iter 9]:[-2413. -2426.],[8603. 8636.]
[iter 10]:[-2408. -2421.],[8623. 8657.]
[iter 11]:[-2404. -2417.],[8637. 8670.]
[iter 12]:[-2401. -2414.],[8646. 8680.]
[iter 13]:[-2399. -2412.],[8655. 8688.]
[iter 14]:[-2397. -2410.],[8661. 8694.]
[iter 15]:[-2396. -2409.],[8664. 8697.]
[iter 16]:[-2396. -2409.],[8666. 8699.]
[iter 17]:[-2396. -2409.],[8667. 8699.]
[iter 18]:[-2396. -2409.],[8667. 8699.]
